"Story","Title","Result","Date","Stability","Duration (s)"
"User Account","Manage account succesful","SUCCESS","2022-02-17T10:47:06.581-05:00[America/Bogota]","0.0","7.21"
"Car rentals","rent a car  successful","SUCCESS","2022-02-17T10:47:29.564-05:00[America/Bogota]","0.0","9.06"
"Car rentals","rent a car without a pickup locqation","SUCCESS","2022-02-17T10:47:38.639-05:00[America/Bogota]","0.0","7.5"
"Car rentals","rent a car by selecting the age of the driver","SUCCESS","2022-02-17T10:47:46.154-05:00[America/Bogota]","0.0","7.32"
"Select Currency","Change currency successful","SUCCESS","2022-02-17T10:48:06.349-05:00[America/Bogota]","0.0","3.5"
"help center","contac help center succesfull","SUCCESS","2022-02-17T10:48:19.876-05:00[America/Bogota]","0.0","5.68"
"help center","contact the help center without logging in","SUCCESS","2022-02-17T10:48:25.576-05:00[America/Bogota]","0.0","2.06"
"help center","contact the help center without account","SUCCESS","2022-02-17T10:48:27.647-05:00[America/Bogota]","0.0","2.72"
"Change Language","Change language succesful","SUCCESS","2022-02-17T10:49:22.149-05:00[America/Bogota]","0.0","7.52"
"User notifications","View user notifications succesful","SUCCESS","2022-02-17T10:50:13.822-05:00[America/Bogota]","0.0","6.27"
"User register","register succesful","SUCCESS","2022-02-17T10:50:33.699-05:00[America/Bogota]","0.0","4.49"
"User register","register when the email its wrong","SUCCESS","2022-02-17T10:50:38.205-05:00[America/Bogota]","0.0","4.07"
"User register","register when password is different","SUCCESS","2022-02-17T10:50:42.279-05:00[America/Bogota]","0.0","3.63"
"Subscribe to see secret offers","Subscribe successful","SUCCESS","2022-02-17T10:50:59.899-05:00[America/Bogota]","0.0","4.24"
"Terms and conditions of the trip","View page Terms and conditions of the trip successful","SUCCESS","2022-02-17T11:10:36.043-05:00[America/Bogota]","0.0","18.89"
"Terms and conditions of the trip","save Trip Terms and Conditions successful","SUCCESS","2022-02-17T11:10:54.953-05:00[America/Bogota]","0.0","2.27"
