"Story","Title","Result","Date","Stability","Duration (s)"
"User Account","Manage account succesful","SUCCESS","2021-08-23T15:05:57.884-05:00[America/Bogota]","0.0","8.85"
"Car rentals","rent a car  successful","SUCCESS","2022-02-17T07:54:09.33-05:00[America/Bogota]","0.0","45.29"
"Car rentals","rent a car without a pickup locqation","SUCCESS","2022-02-17T07:54:54.699-05:00[America/Bogota]","0.0","6.95"
"Car rentals","rent a car by selecting the age of the driver","SUCCESS","2022-02-17T07:55:01.684-05:00[America/Bogota]","0.0","3.23"
"Select Currency","Change currency successful","SUCCESS","2021-08-23T15:09:19.005-05:00[America/Bogota]","0.0","4.76"
"help center","contac help center succesfull","SUCCESS","2021-08-23T15:10:50.009-05:00[America/Bogota]","0.0","5.24"
"help center","contact the help center without logging in","SUCCESS","2021-08-23T15:10:55.262-05:00[America/Bogota]","0.0","2.87"
"help center","contact the help center without account","SUCCESS","2021-08-23T15:10:58.151-05:00[America/Bogota]","0.0","2.2"
"Change Language","Change language succesful","SUCCESS","2021-08-23T15:12:09.907-05:00[America/Bogota]","0.0","4.82"
"User notifications","View user notifications succesful","SUCCESS","2021-08-23T15:12:27.553-05:00[America/Bogota]","0.0","9.03"
"User register","register succesful","SUCCESS","2021-08-23T15:12:49.162-05:00[America/Bogota]","0.0","3.29"
"User register","register when the email its wrong","SUCCESS","2021-08-23T15:12:52.448-05:00[America/Bogota]","0.0","2.11"
"User register","register when password is different","SUCCESS","2021-08-23T15:12:54.574-05:00[America/Bogota]","0.0","2.14"
"Subscribe to see secret offers","Subscribe successful","SUCCESS","2021-08-23T15:13:10.138-05:00[America/Bogota]","0.0","2.89"
"Terms and conditions of the trip","View page Terms and conditions of the trip successful","SUCCESS","2021-08-23T15:14:02.313-05:00[America/Bogota]","0.0","8.06"
"Terms and conditions of the trip","save Trip Terms and Conditions successful","SUCCESS","2021-08-23T15:14:10.384-05:00[America/Bogota]","0.0","4.21"
